,family,given,suffix,particle,dropping_particle,nick,appellation,title,canonical_string_collector_parsed,occurrenceID_collectors_count,occurrenceID_collectors_firstsample,index,namematch_collector,namematch_wikidata,namematch_distance
4731,Esquirol,J.,,,,,,,"Esquirol, J.",1,https://herbarium.bgbm.org/object/B100279498,19062,"Esquirol, J.","Esquirol, J.H.",0.42
5268,Francis,,,,,,,,Francis,1,https://herbarium.bgbm.org/object/B100575848,2751,Francis,"Francis, F.",0.42
5281,Franke,,,,,,,,Franke,3,https://herbarium.bgbm.org/object/B100201297,4006,Franke,"Franke, J.",0.42
5414,Fröderström,H.,,,,,,,"Fröderström, H.",1,http://id.snsb.info/snsb/collection/632599/685534/336958,4441,"Fröderström, H.","Fröderström, H.A.",0.42
5493,Förster,,,,,,,,Förster,1,https://dr.jacq.org/DR048455,9047,Förster,"Förster, A.",0.42
5661,Gardner,,,,,,,,Gardner,83,https://herbarium.bgbm.org/object/B100248903,17780,Gardner,"Gardner, G.",0.42
5716,Gaussen,,,,,,,,Gaussen,1,https://herbarium.bgbm.org/object/B180013520,5262,Gaussen,"Gaussen, H.",0.42
5817,Gerlach,,,,,,,,Gerlach,3,https://herbarium.bgbm.org/object/B200128120,8895,Gerlach,"Gerlach, J.",0.42
5852,Geyer,,,,,,,,Geyer,9,https://herbarium.bgbm.org/object/B100272115,10051,Geyer,"Geyer, M.",0.42
6033,Goetze,,,,,,,,Goetze,2,http://id.snsb.info/snsb/collection/21397/30175/21216,17155,Goetze,"Goetze, W.",0.42
6056,Golenz,,,,,,,,Golenz,15,https://herbarium.bgbm.org/object/B100057588,15135,Golenz,"Golenz, J.",0.42
6371,Grossheim,A.A.,,,,,,,"Grossheim, A.A.",12,http://id.snsb.info/snsb/collection/455501/556029/234981,11811,"Grossheim, A.A.","Grossheim, A.",0.42
6384,Grube,,,,,,,,Grube,1,https://herbarium.bgbm.org/object/B100190684,18536,Grube,"Grube, M.",0.42
6449,Guerrero,L.,,,,,,,"Guerrero, L.",5,https://herbarium.bgbm.org/object/B100001430,10652,"Guerrero, L.","Guerrero, Á.",0.42
6451,Guerrero,R.,,,,,,,"Guerrero, R.",118,https://herbarium.bgbm.org/object/B100043751,9275,"Guerrero, R.","Guerrero, Á.",0.42
6494,Gundelsheimer,,,,,,,,Gundelsheimer,2,https://herbarium.bgbm.org/object/B100068785,10066,Gundelsheimer,"Gundelsheimer, A.v.",0.42
6529,Guthnik,,,,,,,,Guthnik,3,https://dr.jacq.org/DR059080,19931,Guthnik,"Guthnik, K.",0.42
6816,Handel-Mazzetti,H.,,,,,,,"Handel-Mazzetti, H.",1,https://herbarium.bgbm.org/object/B101142479,17510,"Handel-Mazzetti, H.","Handel-Mazzetti, H.v.",0.42
7054,Hayne,,,,,,,,Hayne,3,https://herbarium.bgbm.org/object/B100325818,16301,Hayne,"Hayne, J.",0.42
7060,Hebenstreit,,,,,,,,Hebenstreit,1,http://id.snsb.info/snsb/collection/665545/723913/371671,8081,Hebenstreit,"Hebenstreit, J.E.",0.42
7207,Hemsley,,,,,,,,Hemsley,12,https://herbarium.bgbm.org/object/B100068919,6597,Hemsley,"Hemsley, W.",0.42
7416,Heuffel,J.A.,,,,,,,"Heuffel, J.A.",5,http://id.snsb.info/snsb/collection/483389/595317/264786,6749,"Heuffel, J.A.","Heuffel, J.",0.42
7439,Heynert,,,,,,,,Heynert,1,https://dr.jacq.org/DR048794,866,Heynert,"Heynert, H.",0.42
7523,Hinterhuber,G.,,,,,,,"Hinterhuber, G.",4,https://je.jacq.org/JE00017032,2110,"Hinterhuber, G.","Hinterhuber, J.",0.42
7528,Hinton,,,,,,,,Hinton,4,https://herbarium.bgbm.org/object/B100177770,16968,Hinton,"Hinton, M.",0.42
7769,Horneman,J.W.,,,,,,,"Horneman, J.W.",1,https://herbarium.bgbm.org/object/B100296618,16682,"Horneman, J.W.","Hornemann, J.W.",0.42
7979,Härle,,,,,,,,Härle,9,https://herbarium.bgbm.org/object/B180016947,5072,Härle,"Härle, A.",0.42
8303,Jaquet,,,,,,,,Jaquet,14,https://herbarium.bgbm.org/object/B100263061,11378,Jaquet,"Jaquet, F.",0.42
8628,Kalchbrenner,C.,,,,,,,"Kalchbrenner, C.",1,https://dr.jacq.org/DR045018,550,"Kalchbrenner, C.","Kalchbrenner, K.",0.42
8863,Kerner,,,,,,,,Kerner,8,https://herbarium.bgbm.org/object/BW12427010,13236,Kerner,"Kerner, J.",0.42
8944,Killias,,,,,,,,Killias,1,https://herbarium.bgbm.org/object/B101038566,16423,Killias,"Killias, E.",0.42
9013,Kislev,,,,,,,,Kislev,2,https://herbarium.bgbm.org/object/B100076166,7499,Kislev,"Kislev, M.",0.42
9371,Krascheninnikov,H.,,,,,,,"Krascheninnikov, H.",1,https://dr.jacq.org/DR072153,9673,"Krascheninnikov, H.","Krascheninnikov, H.M.",0.42
9404,Krebs,,,,,,,,Krebs,3,https://dr.jacq.org/DR002140,19667,Krebs,"Krebs, G.",0.42
9586,Kuntze,O. cf Kuntze,,,,,,,"Kuntze, O. cf Kuntze",2,https://herbarium.bgbm.org/object/B100184951,2474,"Kuntze, O. cf Kuntze","Kuntze, O.",0.42
9885,Langsdorff,G.H.,,,,,,,"Langsdorff, G.H.",10,https://herbarium.bgbm.org/object/B100367565,9020,"Langsdorff, G.H.","Langsdorff, G.",0.42
9958,Lautenschläger,A.,,,,,,,"Lautenschläger, A.",13,https://dr.jacq.org/DR067768,366,"Lautenschläger, A.","Lautenschläger, T.",0.42
10249,Lewis,,,,,,,,Lewis,2,https://herbarium.bgbm.org/object/B100239668,7143,Lewis,"Lewis, J.",0.42
10283,Libbert,,,,,,,,Libbert,1,https://herbarium.bgbm.org/object/B100271941,19759,Libbert,"Libbert, E.",0.42
10544,Looser,,,,,,,,Looser,1,https://herbarium.bgbm.org/object/B180015357,1107,Looser,"Looser, G.",0.42
10722,Luschnath,,,,,,,,Luschnath,7,https://herbarium.bgbm.org/object/B100247672b,13368,Luschnath,"Luschnath, B.",0.42
10829,Lüscher,,,,,,,,Lüscher,2,https://dr.jacq.org/DR050584,18452,Lüscher,"Lüscher, H.",0.42
10854,MacCallum,,,,,,,,MacCallum,1,https://dr.jacq.org/DR050986,9869,MacCallum,"MacCallum, B.",0.42
10897,Maconochie,J.R.,,,,,,,"Maconochie, J.R.",5,http://id.snsb.info/snsb/collection/667909/726519/374182,7550,"Maconochie, J.R.","Maconochie, J.",0.42
11100,Marchesi,,,,,,,,Marchesi,1,https://herbarium.bgbm.org/object/B100176884,18316,Marchesi,"Marchesi, E.",0.42
11140,Markgraf-Dannenberg,F.,,,,,,,"Markgraf-Dannenberg, F.",1,https://herbarium.bgbm.org/object/B100217315,3974,"Markgraf-Dannenberg, F.","Markgraf-Dannenberg, I.",0.42
11427,Mayr,,,,,,,,Mayr,17,http://id.snsb.info/snsb/collection/518771/642032/300340,650,Mayr,"Mayr, J.",0.42
11446,McCann,,,,,,,,McCann,2,https://je.jacq.org/JE04005348,8948,McCann,"McCann, C.",0.42
11518,Mehregan,,,,,,,,Mehregan,1,https://herbarium.bgbm.org/object/B100345167,7129,Mehregan,"Mehregan, I.",0.42
11521,Meierott,,,,,,,,Meierott,2,http://id.snsb.info/snsb/collection/516837/640050/298123,11588,Meierott,"Meierott, L.",0.42
11677,Merxmüller,G.,,,,,,,"Merxmüller, G.",1,https://herbarium.bgbm.org/object/B100847405,19032,"Merxmüller, G.","Merxmüller, H.",0.42
11751,Michaud,,,,,,,,Michaud,1,https://herbarium.bgbm.org/object/B100157547,3145,Michaud,"Michaud, A.",0.42
11822,Millot,,,,,,,,Millot,1,https://herbarium.bgbm.org/object/B100375255,5183,Millot,"Millot, J.",0.42
11961,Monteiro,,,,,,,,Monteiro,1,https://herbarium.bgbm.org/object/B100159510,2031,Monteiro,"Monteiro, R.",0.42
12256,Murray,,,,,,,,Murray,1,https://herbarium.bgbm.org/object/B200115862,108,Murray,"Murray, J.",0.42
12554,Neubert,,,,,,,,Neubert,8,https://herbarium.bgbm.org/object/B100089460,4570,Neubert,"Neubert, H.",0.42
12828,Nätzold,K.,,,,,,,"Nätzold, K.",1,https://dr.jacq.org/DR016187,8799,"Nätzold, K.",Nötzold,0.42
13002,Onuma,,,,,,,,Onuma,1,https://herbarium.bgbm.org/object/B100249603,8927,Onuma,"Onuma, F.",0.42
13078,Osorio,J.,,,,,,,"Osorio, J.",1,https://herbarium.bgbm.org/object/B100049839,18102,"Osorio, J.","Osorio, J.A.",0.42
13129,Pabst,,,,,,,,Pabst,32,https://herbarium.bgbm.org/object/B100184897,3547,Pabst,"Pabst, G.",0.42
13225,Paniagua Zambrana,N.,,,,,,,"Paniagua Zambrana, N.",3,https://herbarium.bgbm.org/object/B100711092,1033,"Paniagua Zambrana, N.","Paniagua-Zambrana, N.Y.",0.42
13424,Pearson,,,,,,,,Pearson,1,http://id.snsb.info/snsb/collection/17914/26693/17734,7589,Pearson,"Pearson, G.",0.42
13599,Petit,,,,,,,,Petit,6,https://herbarium.bgbm.org/object/B100141904,11759,Petit,"Petit, A.",0.42
13654,Peșmen,,,,,,,,Peșmen,1,https://herbarium.bgbm.org/object/B101156280,7662,Peșmen,"Peșmen, H.",0.42
13693,Philipson,P.B.,,,,,,,"Philipson, P.B.",1,https://herbarium.bgbm.org/object/B100154373,19489,"Philipson, P.B.","Phillipson, P.B.",0.42
14022,Poscharsky,G.,,,,,,,"Poscharsky, G.",73,https://dr.jacq.org/DR048613,5223,"Poscharsky, G.","Poscharsky, G.A.",0.42
14125,Preyer,,,,,,,,Preyer,26,https://herbarium.bgbm.org/object/B180006210,3237,Preyer,"Preyer, A.",0.42
14409,Rainer,,,,,,,,Rainer,7,https://herbarium.bgbm.org/object/B100218837,5255,Rainer,"Rainer, J.",0.42
14668,Reinecke,,,,,,,,Reinecke,23,https://herbarium.bgbm.org/object/B100294790,6848,Reinecke,"Reinecke, F.",0.42
14728,Repasky,R.,,,,,,,"Repasky, R.",5,https://herbarium.bgbm.org/object/B101141064,15237,"Repasky, R.","Repasky, R.E.",0.42
14850,Riedl,,,,,,,,Riedl,1,https://herbarium.bgbm.org/object/B100470755,16814,Riedl,"Riedlé, A.",0.42
14912,Ritchie,,,,,,,,Ritchie,2,https://herbarium.bgbm.org/object/B100296816,15688,Ritchie,"Ritchie, W.",0.42
15075,Roezl,,,,,,,,Roezl,17,https://herbarium.bgbm.org/object/B180011593,11073,Roezl,"Roezl, B.",0.42
15278,Rouschal,,,,,,,,Rouschal,2,https://herbarium.bgbm.org/object/B180020841,6281,Rouschal,"Rouschal, E.",0.42
15318,Rudmose Brown,R.N.,,,,,,,"Rudmose Brown, R.N.",1,https://herbarium.bgbm.org/object/B100526524,17972,"Rudmose Brown, R.N.","Rudmose-Brown, R.",0.42
15329,Rudolphi,K.A.,,,,,,,"Rudolphi, K.A.",2,https://herbarium.bgbm.org/object/BW02629010,4164,"Rudolphi, K.A.","Rudolphi, K.",0.42
15397,Russel,P.G.,,,,,,,"Russel, P.G.",1,https://herbarium.bgbm.org/object/B200084442d,14722,"Russel, P.G.","Russell, P.G.",0.42
15797,Schaede,,,,,,,,Schaede,2,https://dr.jacq.org/DR051419,1103,Schaede,"Schaede, R.",0.42
16159,Schrenk,,,,,,,,Schrenk,15,https://herbarium.bgbm.org/object/B100249778,3380,Schrenk,"Schrenk, J.(.",0.42
16171,Schröder,,,,,,,,Schröder,13,https://herbarium.bgbm.org/object/B100167869,11985,Schröder,"Schröder, R.",0.42
16479,Seidel,,,,,,,,Seidel,39,https://dr.jacq.org/DR014904,9295,Seidel,"Seidel, A.",0.42
16586,Serrano,,,,,,,,Serrano,1,https://herbarium.bgbm.org/object/B100034608,19288,Serrano,"Serrano, M.",0.42
547,Shiu,Ying Hu,,,,,,,"Shiu, Ying Hu",1,https://herbarium.bgbm.org/object/BGT0004730,82,"Shiu, Ying Hu","Hu, Shiu-Ying",0.42
16704,Siegel,,,,,,,,Siegel,2,https://herbarium.bgbm.org/object/B700004238,7494,Siegel,"Siegel, J.",0.42
16847,Skinner,,,,,,,,Skinner,2,https://herbarium.bgbm.org/object/B200097145c,1250,Skinner,"Skinner, S.",0.42
16952,Snogerup,S.,,,,,,,"Snogerup, S.",17,https://herbarium.bgbm.org/object/B101013838,4752,"Snogerup, S.","Snogerup, S.E.",0.42
17076,Soukup,,,,,,,,Soukup,1,https://herbarium.bgbm.org/object/B100158010,16783,Soukup,"Soukup, J.",0.42
17473,Strobl,,,,,,,,Strobl,6,https://herbarium.bgbm.org/object/B100384167,2200,Strobl,"Strobl, G.",0.42
17521,Stübel,,,,,,,,Stübel,118,https://herbarium.bgbm.org/object/B200148014,11430,Stübel,"Stübel, A.",0.42
17875,Termeh,F.,,,,,,,"Termeh, F.",7,http://id.snsb.info/snsb/collection/468860/575163/247812,13331,"Termeh, F.",Termeh,0.42
18236,Triana,,,,,,,,Triana,6,https://herbarium.bgbm.org/object/B200161005B,6548,Triana,"Triana, J.",0.42
18410,Uhlemann,,,,,,,,Uhlemann,1,https://dr.jacq.org/DR066657,12189,Uhlemann,"Uhlemann, I.",0.42
18519,Vaillant,,,,,,,,Vaillant,2,https://herbarium.bgbm.org/object/B100249664,9226,Vaillant,"Vaillant, C.",0.42
18535,Valdés,,,,,,,,Valdés,1,https://herbarium.bgbm.org/object/B101135606,4898,Valdés,"Valdés, J.",0.42
18618,Vaupel,C.,,,,,,,"Vaupel, C.",2,https://je.jacq.org/JE00002979,11306,"Vaupel, C.","Vaupell, C.",0.42
19033,Waldheim,S.,,,,,,,"Waldheim, S.",1,https://herbarium.bgbm.org/object/B100089709,9617,"Waldheim, S.","Waldheim, S.(.A.",0.42
19241,Weinhold,G.,,,,,,,"Weinhold, G.",1,https://dr.jacq.org/DR033662,19326,"Weinhold, G.",Weinhold,0.42
19307,Wendland,,,,,,,,Wendland,6,https://herbarium.bgbm.org/object/B200084021,11725,Wendland,"Wendland, H.",0.42
19329,Werner,,,,,,,,Werner,14,https://je.jacq.org/JE00014194,19106,Werner,"Werner, J.",0.42
19561,Wilson,,,,,,,,Wilson,13,https://herbarium.bgbm.org/object/B100243747,4901,Wilson,"Wilson, J.",0.42
19582,Windisch,,,,,,,,Windisch,1,https://herbarium.bgbm.org/object/B200124971,7212,Windisch,"Windisch, S.",0.42
19622,Wislizenus,,,,,,,,Wislizenus,1,https://dr.jacq.org/DR056299,8448,Wislizenus,"Wislizenus, F.A.",0.42
19963,Zeller,,,,,,,,Zeller,2,https://herbarium.bgbm.org/object/B100532220,14624,Zeller,"Zeller, J.",0.42
20066,Zirnich,,,,,,,,Zirnich,8,https://herbarium.bgbm.org/object/B100068337,2819,Zirnich,"Zirnich, K.",0.42
33,Acebey,A.C.,,,,,,,"Acebey, A.C.",3,http://id.snsb.info/snsb/collection/501079/622298/279882,7616,"Acebey, A.C.","Acebey, A.",0.43
169,Akeroyd,J.,,,,,,,"Akeroyd, J.",1,https://herbarium.bgbm.org/object/B101155487,4727,"Akeroyd, J.","Akeroyd, J.R.",0.43
184,Al-Eisawi,D.,,,,,,,"Al-Eisawi, D.",5,https://herbarium.bgbm.org/object/B100057781,10415,"Al-Eisawi, D.","Al-Eisawi, D.M.",0.43
197,Al-Shehbaz,I.,,,,,,,"Al-Shehbaz, I.",1,https://herbarium.bgbm.org/object/B100024960,8588,"Al-Shehbaz, I.","Al-Shehbaz, I.A.",0.43
1087,Baumgartner,W.,,,,,,,"Baumgartner, W.",2,https://herbarium.bgbm.org/object/B101052726,778,"Baumgartner, W.","Baumgartner, J.",0.43
1117,Beadle,,,,,,,,Beadle,1,https://dr.jacq.org/DR055120,15930,Beadle,"Beadle, C.",0.43
1150,Becker,,,,,,,,Becker,37,https://herbarium.bgbm.org/object/B100461238,3601,Becker,"Becker, J.",0.43
1257,Bennett,,,,,,,,Bennett,5,https://herbarium.bgbm.org/object/B100448001,16456,Bennett,"Bennett, A.",0.43
1271,Bequaert,,,,,,,,Bequaert,1,http://id.snsb.info/snsb/collection/19580/28359/19400,12267,Bequaert,"Bequaert, J.C.",0.43
1406,Besson,,,,,,,,Besson,1,https://je.jacq.org/JE04009729,18186,Besson,"Besson, M.",0.43
1451,Bianor,,,,,,,,Bianor,9,http://id.snsb.info/snsb/collection/118376/177175/119374,2752,Bianor,"Bianor, F.",0.43
1483,Bilimek,,,,,,,,Bilimek,22,https://herbarium.bgbm.org/object/B100841657,13279,Bilimek,"Bilimek, D.",0.43
1568,Blanche,,,,,,,,Blanche,8,https://herbarium.bgbm.org/object/B100379486,16665,Blanche,"Blanche, E.",0.43
1781,Boormann,J.L.,,,,,,,"Boormann, J.L.",2,https://herbarium.bgbm.org/object/B100272974,529,"Boormann, J.L.","Boorman, J.L.",0.43
1800,Bordère,,,,,,,,Bordère,83,https://herbarium.bgbm.org/object/B100841800,4,Bordère,"Bordère, H.",0.43
1985,Brandis,,,,,,,,Brandis,18,https://herbarium.bgbm.org/object/B180011458,15292,Brandis,"Brandis, E.",0.43
2003,Brauer,,,,,,,,Brauer,2,https://herbarium.bgbm.org/object/B180012852,15983,Brauer,"Brauer, A.",0.43
2236,Bubani,,,,,,,,Bubani,2,https://herbarium.bgbm.org/object/B200108256,17851,Bubani,"Bubani, P.",0.43
2310,Bunge,,,,,,,,Bunge,3,https://herbarium.bgbm.org/object/B100241236,11399,Bunge,"Bunge, A.",0.43
2342,Burke,,,,,,,,Burke,12,https://herbarium.bgbm.org/object/B200154152,15541,Burke,"Burke, J.",0.43
2349,Burle,,,,,,,,Burle,3,https://je.jacq.org/JE00018737,17722,Burle,"Burle, A.",0.43
2524,Cabra,,,,,,,,Cabra,1,https://herbarium.bgbm.org/object/B100160464,7696,Cabra,"Cabra, A.",0.43
2577,Caldesi,,,,,,,,Caldesi,1,https://herbarium.bgbm.org/object/B100390992,13737,Caldesi,"Caldesi, L.",0.43
2718,Carlström,A.,,,,,,,"Carlström, A.",3,https://herbarium.bgbm.org/object/B100294202,10910,"Carlström, A.","Carlström, A.L.",0.43
3188,Claus,,,,,,,,Claus,4,https://herbarium.bgbm.org/object/B100036858,1530,Claus,"Claus, J.",0.43
3505,Crundwell,A.C.,,,,,,,"Crundwell, A.C.",1,https://je.jacq.org/JE04008870,1090,"Crundwell, A.C.","Crundwell, A.",0.43
3558,Cumming,,,,,,,,Cumming,2,https://herbarium.bgbm.org/object/B200043713,703,Cumming,"Cumming, L.",0.43
3582,Curtis,,,,,,,,Curtis,4,https://herbarium.bgbm.org/object/B180002436,9895,Curtis,"Curtis, C.",0.43
3772,Decker,,,,,,,,Decker,3,https://herbarium.bgbm.org/object/B100295265,13896,Decker,"Decker, A.",0.43
3797,Deistel,,,,,,,,Deistel,6,https://herbarium.bgbm.org/object/B100715938,17047,Deistel,"Deistel, H.",0.43
3886,Desfontaines,,,,,,,,Desfontaines,12,https://herbarium.bgbm.org/object/BW10214030,8182,Desfontaines,"Desfontaines, R.L.",0.43
4087,Doppelbaur,H.,,,,,,,"Doppelbaur, H.",1,http://id.snsb.info/snsb/collection/501688/622922/280478,19341,"Doppelbaur, H.","Doppelbaur, H.W.",0.43
4744,Esterhuysen,E.,,,,,,,"Esterhuysen, E.",136,http://id.snsb.info/snsb/collection/16205/24948/16025,5360,"Esterhuysen, E.","Esterhuysen, E.E.",0.43
4876,Faust,,,,,,,,Faust,1,https://dr.jacq.org/DR048425,15327,Faust,"Faust, J.",0.43
4966,Fernández,C.,,,,,,,"Fernández, C.",2,https://herbarium.bgbm.org/object/B100067466,4419,"Fernández, C.","Fernández, Á.",0.43
5145,Flügel,,,,,,,,Flügel,2,https://dr.jacq.org/DR000526,2741,Flügel,"Flügel, M.",0.43
5345,Friedrichsthal,,,,,,,,Friedrichsthal,2,https://herbarium.bgbm.org/object/B100244090,6715,Friedrichsthal,"Friedrichsthal, E.v.",0.43
5373,Fritze,,,,,,,,Fritze,5,https://dr.jacq.org/DR058908,17374,Fritze,"Fritze, R.",0.43
5701,Gauba,,,,,,,,Gauba,10,https://herbarium.bgbm.org/object/B100279012,19894,Gauba,"Gauba, E.",0.43
5970,Gjellerup,,,,,,,,Gjellerup,1,https://herbarium.bgbm.org/object/B200004844,16713,Gjellerup,"Gjellerup, K.",0.43
6282,Green,,,,,,,,Green,28,https://herbarium.bgbm.org/object/B310162012,13216,Green,"Green, J.",0.43
6514,Gussone,,,,,,,,Gussone,3,https://herbarium.bgbm.org/object/B100241208,6903,Gussone,"Gussone, G.",0.43
6540,Gutiérrez,M.E.,,,,,,,"Gutiérrez, M.E.",3,https://herbarium.bgbm.org/object/B100280882,14127,"Gutiérrez, M.E.","Gutiérrez, Á.M.",0.43
6659,Hackel,,,,,,,,Hackel,5,https://dr.jacq.org/DR049679,19561,Hackel,"Hackel, J.",0.43
7246,Henry,,,,,,,,Henry,8,https://herbarium.bgbm.org/object/B100272527,13313,Henry,"Henry, J.",0.43
7346,Herrera,,,,,,,,Herrera,11,https://herbarium.bgbm.org/object/B100365201,5566,Herrera,"Herrera, S.",0.43
7477,Hildebrandt,,,,,,,,Hildebrandt,5,https://herbarium.bgbm.org/object/B200097415,453,Hildebrandt,"Hildebrandt, J.M.",0.43
7488,Hillardt,,,,,,,,Hillardt,1,https://dr.jacq.org/DR056097,14690,Hillardt,"Hillardt, C.",0.43
7577,Hoehne,,,,,,,,Hoehne,1,https://herbarium.bgbm.org/object/B100124262,12650,Hoehne,"Hoehne, W.",0.43
7714,Homblé,,,,,,,,Homblé,2,https://herbarium.bgbm.org/object/B100153643,14071,Homblé,"Homblé, H.",0.43
7721,Honda,,,,,,,,Honda,1,https://herbarium.bgbm.org/object/B100278923,11099,Honda,"Honda, M.",0.43
7954,Hutton,,,,,,,,Hutton,1,https://herbarium.bgbm.org/object/B200053720,1371,Hutton,"Hutton, H.",0.43
7996,Hölzer,P.,,,,,,,"Hölzer, P.",1,https://herbarium.bgbm.org/object/B100327718,113,"Hölzer, P.",Hölzer,0.43
8074,Ikonnikov,S.,,,,,,,"Ikonnikov, S.",5,http://id.snsb.info/snsb/collection/459113/559815/237962,4865,"Ikonnikov, S.","Ikonnikov, S.S.",0.43
8125,Irmisch,,,,,,,,Irmisch,2,https://herbarium.bgbm.org/object/B101068382,15825,Irmisch,"Irmisch, T.",0.43
8210,Jaeger,,,,,,,,Jaeger,2,https://dr.jacq.org/DR020235,4359,Jaeger,"Jaeger, P.",0.43
8332,Jeanjean,,,,,,,,Jeanjean,3,https://dr.jacq.org/DR045355,15095,Jeanjean,"Jeanjean, A.F.",0.43
8426,Johannes,,,,,,,,Johannes,1,https://herbarium.bgbm.org/object/B180006430,12553,Johannes,"Johannes, H.",0.43
8527,Junge,,,,,,,,Junge,5,https://herbarium.bgbm.org/object/B100089527,6535,Junge,"Junge, A.",0.43
8574,Jäggi,,,,,,,,Jäggi,2,https://dr.jacq.org/DR039216,1145,Jäggi,"Jäggi, J.",0.43
8640,Kalkmann,C.,,,,,,,"Kalkmann, C.",1,https://herbarium.bgbm.org/object/B200090309,6315,"Kalkmann, C.","Kalkman, C.",0.43
8700,Karelin,,,,,,,,Karelin,1,https://herbarium.bgbm.org/object/B101013633,6219,Karelin,"Karelin, G.",0.43
8723,Karsten,,,,,,,,Karsten,45,https://je.jacq.org/JE04005143,10883,Karsten,"Karsten, G.",0.43
8876,Kersting,,,,,,,,Kersting,2,http://id.snsb.info/snsb/collection/21504/30282/21323,16603,Kersting,"Kersting, H.",0.43
8939,Kilian,,,,,,,,Kilian,1,https://herbarium.bgbm.org/object/B100711562,7451,Kilian,"Kilian, G.",0.43
9117,Knebel,,,,,,,,Knebel,7,https://dr.jacq.org/DR049031,15155,Knebel,"Knebel, G.",0.43
9193,Koenig,,,,,,,,Koenig,1,https://herbarium.bgbm.org/object/BW03083010,8570,Koenig,"Koenig, H.",0.43
9303,Kotschy,,,,,,,,Kotschy,2,https://dr.jacq.org/DR049432,7559,Kotschy,"Kotschy, T.",0.43
9923,Lasseigne,A.,,,,,,,"Lasseigne, A.",5,https://herbarium.bgbm.org/object/B100244231,16558,"Lasseigne, A.","Lasseigne, A.A.",0.43
10039,Lederer,,,,,,,,Lederer,2,https://dr.jacq.org/DR063583,18221,Lederer,"Lederer, F.",0.43
10377,Lindfors,A.,,,,,,,"Lindfors, A.",3,https://herbarium.bgbm.org/object/B100296884,18689,"Lindfors, A.","Lindfors, A.M.",0.43
10419,Lippert,,,,,,,,Lippert,25,https://herbarium.bgbm.org/object/B101043977,7017,Lippert,"Lippert, C.",0.43
10567,Lorenz,,,,,,,,Lorenz,6,https://herbarium.bgbm.org/object/B100847423,10647,Lorenz,"Lorenz, A.",0.43
10729,Lutze,,,,,,,,Lutze,7,https://dr.jacq.org/DR009319,4572,Lutze,"Lutze, G.",0.43
10770,Lévy,,,,,,,,Lévy,1,https://herbarium.bgbm.org/object/B100249064,10818,Lévy,"Lévy, J.",0.43
11060,Manktelow,S.J.,,,,,,,"Manktelow, S.J.",1,https://herbarium.bgbm.org/object/B100154018,8242,"Manktelow, S.J.","Manktelow, S.",0.43
11083,Manzanares,J.,,,,,,,"Manzanares, J.",1,https://herbarium.bgbm.org/object/B101009094,374,"Manzanares, J.","Manzanares, J.M.",0.43
11134,Marion,,,,,,,,Marion,1,https://herbarium.bgbm.org/object/B200053462,15319,Marion,"Marion, A.",0.43
11169,Marroquín,J.,,,,,,,"Marroquín, J.",1,https://herbarium.bgbm.org/object/B100043066,16401,"Marroquín, J.","Marroquín, J.S.",0.43
11340,Matthies,,,,,,,,Matthies,1,https://herbarium.bgbm.org/object/B101068210,8800,Matthies,"Matthies, D.",0.43
11460,McGillivray,J.,,,,,,,"McGillivray, J.",2,https://herbarium.bgbm.org/object/B200048530,6840,"McGillivray, J.","McGillivray, D.",0.43
11622,Menjívar,J.,,,,,,,"Menjívar, J.",74,https://herbarium.bgbm.org/object/B100039173,14779,"Menjívar, J.","Menjívar, R.",0.43
11632,Menzel,,,,,,,,Menzel,5,https://je.jacq.org/JE00018781,9598,Menzel,"Menzel, M.",0.43
12045,Mordhorst,G.M.A.,,,,,,,"Mordhorst, G.M.A.",4,https://herbarium.bgbm.org/object/B100467551,14140,"Mordhorst, G.M.A.","Mordhorst, G.",0.43
12100,Morton,,,,,,,,Morton,3,https://herbarium.bgbm.org/object/B100184014,12977,Morton,"Morton, J.",0.43
12126,Mosén,,,,,,,,Mosén,10,https://herbarium.bgbm.org/object/B200108156b,8737,Mosén,"Mosén, H.",0.43
12467,Navarro,,,,,,,,Navarro,1,https://herbarium.bgbm.org/object/B100020973,13133,Navarro,"Navarro, R.",0.43
12497,Neger,,,,,,,,Neger,2,https://dr.jacq.org/DR049863,5633,Neger,"Neger, J.",0.43
12744,Nordmann,,,,,,,,Nordmann,3,https://herbarium.bgbm.org/object/B180013331,3052,Nordmann,"Nordmann, V.",0.43
13046,Ortiz,,,,,,,,Ortiz,1,https://herbarium.bgbm.org/object/B101064941,2330,Ortiz,"Ortiz, A.",0.43
13293,Parker,,,,,,,,Parker,3,https://herbarium.bgbm.org/object/B100168116,18320,Parker,"Parker, J.",0.43
13333,Paterson,,,,,,,,Paterson,4,https://je.jacq.org/JE04002794,12251,Paterson,"Paterson, R.",0.43
13435,Peckolt,,,,,,,,Peckolt,7,https://herbarium.bgbm.org/object/B180009186,15853,Peckolt,"Peckolt, T.",0.43
13452,Peekel,,,,,,,,Peekel,8,https://herbarium.bgbm.org/object/B100279838,3219,Peekel,"Peekel, G.",0.43
13582,Peters,,,,,,,,Peters,49,https://herbarium.bgbm.org/object/B100154610,10920,Peters,"Peters, J.",0.43
13737,Pieper,,,,,,,,Pieper,22,https://herbarium.bgbm.org/object/B100217313,13669,Pieper,"Pieper, W.",0.43
